dataset,selector,accuracy,train_transform_time_s,feature_selection_time_s,training_time_s,test_transform_time_s,inference_time_s,total_time_s,retained_features,memory_delta_mb,status,error
Adiac,anova_f,0.659846547314578,6.455815899884328,0.1822695001028478,0.0987904001958668,18.885421999963,0.0039965000469237,28.68086909991689,500.0,220.6015625,ok,
Adiac,mutual_info,0.6547314578005116,22.21818299987353,2012.1058386999648,0.0936966999433934,13.878609399776906,0.0013776000123471,2053.6811053000856,500.0,165.38671875,ok,
Adiac,random,0.6879795396419437,22.611151299905032,0.0022740999702364,0.0924196999985724,17.301929699955508,0.001310900086537,45.22140450007282,500.0,216.54296875,ok,
ArrowHead,anova_f,0.7885714285714286,2.59183879988268,0.0405679999385029,0.009897300042212,11.006812599953264,0.0005294000729918,18.06077410001308,500.0,87.484375,ok,
ArrowHead,mutual_info,0.7942857142857143,2.2070112000219524,83.05444350000471,0.0073142000474035,13.150461199926212,0.0005168998613953,102.69431299995632,500.0,84.84765625,ok,
ArrowHead,random,0.7885714285714286,2.907841099891812,0.0005713000427931,0.0080683000851422,15.202603500103578,0.0006566999945789,24.072498199995607,500.0,84.88671875,ok,
Beef,anova_f,0.7333333333333333,5.223085900070146,0.0424835998564958,0.0078963998239487,5.3390134000219405,0.0005548999179154,16.95229179994203,500.0,54.44140625,ok,
Beef,mutual_info,0.7333333333333333,3.0474902000278234,1464.8918995999263,0.0070525000337511,3.531325399875641,0.0004300998989492,1476.698917800095,500.0,52.2890625,ok,
Beef,random,0.8,2.9582245000638068,0.0005736998282372,0.0056560998782515,2.7274925999809057,0.0004116999916732,9.740607700077817,500.0,51.25390625,ok,
BeetleFly,anova_f,0.85,3.723840600112453,0.0380057001020759,0.0042965998873114,2.284692300017923,0.0004803999327123,11.521473799832163,500.0,49.3125,ok,
BeetleFly,mutual_info,0.85,3.569517200114205,82.96597080002539,0.006323300069198,3.1578897999133915,0.0002874999772757,96.6553094999399,500.0,47.11328125,ok,
BeetleFly,random,0.85,0.6702132001519203,0.0002351999282836,0.0024216999299824,0.6863514999859035,0.0002535998355597,3.791046799859032,500.0,46.671875,ok,
BirdChicken,anova_f,0.9,1.001644799951464,0.0206272001378238,0.0028808000497519,0.8265924998559058,0.0002457001246511,4.574136799899861,500.0,48.953125,ok,
BirdChicken,mutual_info,0.95,0.8156116001773626,31.911432099994272,0.0025849000085145,0.8309828999917954,0.0002566999755799,36.25529589992948,500.0,47.64453125,ok,
